ID;Name;Year Published;Min Players;Max Players;Play Time;Min Age;Users Rated;Rating Average;BGG Rank;Complexity Average;Owned Users;Mechanics;Domains
170216;Blood Rage;2015;2;4;90;14;33940;8,00;32;2,88;40664;Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection;Strategy Games
205059;Mansions of Madness: Second Edition;2016;1;5;180;14;25116;8,06;33;2,69;39007;Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers;Thematic Games
180263;The 7th Continent;2017;1;4;1000;14;16868;8,15;34;2,87;30488;Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers;Thematic Games
221107;Pandemic Legacy: Season 2;2017;2;4;60;14;12100;8,15;35;3,25;24373;Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers;Strategy Games, Thematic Games
199792;Everdell;2018;1;4;80;13;19552;8,08;36;2,81;29225;Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement;Family Games, Strategy Games
276025;Maracaibo;2019;1;4;120;12;7645;8,29;37;3,87;12042;Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up;Strategy Games
55690;Kingdom Death: Monster;2015;1;4;180;17;7553;8,66;38;4,25;10047;Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling;Thematic Games
2651;Power Grid;2004;2;6;120;12;56214;7,86;39;3,27;66489;Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based;Strategy Games
126163;Tzolk'in: The Mayan Calendar;2012;2;4;90;13;30790;7,90;40;3,67;35520;Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement;Strategy Games
284083;The Crew: The Quest for Planet Nine;2019;2;5;20;10;15027;8,02;41;1,99;31356;Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking;Family Games, Strategy Games
209010;Mechs vs. Minions;2016;2;4;120;14;14056;8,05;42;2,41;20196;Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers;Strategy Games, Thematic Games
247763;Underwater Cities;2018;1;4;150;12;9979;8,13;43;3,58;13474;End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement;Strategy Games
164153;Star Wars: Imperial Assault;2014;1;5;120;14;20512;8,02;44;3,30;35018;Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers;Thematic Games
216132;Clans of Caledonia;2017;1;4;120;12;14835;8,01;45;3,46;17634;Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up;Strategy Games
185343;Anachrony;2017;1;4;120;15;11585;8,10;46;4,00;15513;Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types;Strategy Games
35677;Le Havre;2008;1;5;150;12;26494;7,87;47;3,74;29701;Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement;Strategy Games
192135;Too Many Bones;2017;1;4;120;12;6055;8,45;48;3,85;9087;Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers;Strategy Games, Thematic Games
25613;Through the Ages: A Story of Civilization;2006;2;4;120;12;18004;7,93;49;4,17;17423;Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management;Strategy Games
